,Mobile devices,,,All devices,,,Mobile devices,,,All devices,,
Report Date,Stuff UB,NZH UB,Stuff - NZH UB,Stuff UB,NZH UB,Stuff - NZH UB,Stuff PI,NZH PI,Stuff - NZH PI,Stuff PI,NZH PI,Stuff - NZH PI
4-Mar-19,712701,643721,68980,927221,827541,99680,2948631,1782034,1166597,5093343,2960464,2132879
5-Mar-19,785520,652698,132822,987283,837054,150229,2511665,1761159,750506,5705130,3708408,1996722
6-Mar-19,735030,665615,69415,907918,838563,69355,2674296,1760526,913770,5924290,3686417,2237873
7-Mar-19,712002,662804,49198,870948,820418,50530,2527396,1774079,753317,5711725,3704537,2007188
8-Mar-19,696796,682358,14438,860551,888507,-27956,2528681,1755776,772905,5659182,3617407,2041775
9-Mar-19,631469,618450,13019,819859,928058,-108199,2580422,1808319,772103,5846654,3738753,2107901
10-Mar-19,702617,677334,25283,911481,983930,-72449,2440505,1756725,683780,4402241,2966542,1435699
11-Mar-19,751020,718643,32377,1054190,1081175,-26985,2728562,1890884,837678,4886031,3074265,1811766
12-Mar-19,749099,766450,-17351,978239,1157619,-179380,2786170,1892957,893213,6200918,3897760,2303158
13-Mar-19,718585,713482,5103,912180,974878,-62698,2664812,2025661,639151,6008786,4022174,1986612
14-Mar-19,731456,686559,44897,936405,900561,35844,2548800,1923984,624816,5742768,3940619,1802149
15-Mar-19,1591441,1496143,95298,2716550,2785057,-68507,2563704,1868280,695424,5850112,3876629,1973483
16-Mar-19,1357255,1382201,-24946,2499201,2669899,-170698,5706430,4175512,1530918,10941349,7113275,3828074
17-Mar-19,1231562,1201112,30450,1825047,3000403,-1175356,5142907,4211169,931738,8182828,6038560,2144268
18-Mar-19,1103469,937323,166146,1533429,1747149,-213720,4361171,3435469,925702,7112790,4974420,2138370
19-Mar-19,893663,812889,80774,1218209,1487487,-269278,3770302,2610312,1159990,7877675,5021683,2855992
20-Mar-19,900415,865777,34638,1194576,1310669,-116093,3178257,2256942,921315,6803054,4424804,2378250
21-Mar-19,822281,746660,75621,1199221,1015221,184000,3201763,2353207,848556,6828426,4482802,2345624
22-Mar-19,837226,741388,95838,1119451,1016345,103106,2915453,2095005,820448,6346197,4078162,2268035
23-Mar-19,767728,675088,92640,993384,941856,51528,2885387,2051331,834056,6156938,3985542,2171396
24-Mar-19,744052,801729,-57677,949245,1093291,-144046,2783927,2015603,768324,4831033,3220179,1610854
25-Mar-19,739917,610609,129308,942725,828047,114678,2953094,2364366,588728,5236341,3690883,1545458
26-Mar-19,808908,662710,146198,1006002,873827,132175,2669905,1743885,926020,6057858,3711660,2346198
27-Mar-19,789853,730202,59651,989298,940900,48398,2838752,1879564,959188,6329437,3855451,2473986
28-Mar-19,673699,637476,36223,852682,810016,42666,2855257,2076674,778583,6447046,4112973,2334073
29-Mar-19,703653,595469,108184,902132,768872,133260,2437182,1771069,666113,5645712,3633226,2012486
30-Mar-19,692369,540784,151585,876323,719882,156441,2498855,1637597,861258,5608712,3368284,2240428
31-Mar-19,694012,658041,35971,870594,889200,-18606,2488162,1639940,848222,4480313,2757003,1723310
1-Apr-19,747864,641637,106227,958729,913777,44952,2704543,1831501,873042,4902540,2964022,1938518
2-Apr-19,678101,631672,46429,866514,833912,32602,2677285,1825478,851807,6113268,3912695,2200573
3-Apr-19,642021,591746,50275,849488,775157,74331,2386154,1754230,631924,5595438,3675725,1919713
4-Apr-19,726317,644455,81862,944857,835819,109038,2293695,1649973,643722,5368868,3504504,1864364
5-Apr-19,738611,609957,128654,987100,797836,189264,2510169,1754712,755457,5640169,3556109,2084060
